,company,rating,location,headquarters,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
790,Flexential,3.4,"['NC', 'MN', 'CO', 'FL']","Cupertino, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
791,Frontline Consulting Services,3.5,United States,"Seattle, WA",10000+ employees, $10+ billion (USD) per year,1,1,NA
792,Virgo,3.5,United States,"Armonk, NY",10000+ employees, $10+ billion (USD) per year,0,1,NA
793,Apptio,3.5,"['WA', 'NC', 'NC', 'WA']",Mumbai (India),10000+ employees, $10+ billion (USD) per year,1,1,2.9
794,Trustpilot,3.5,"['CO', 'NY']",Bengaluru (India),10000+ employees, $10+ billion (USD) per year,1,1,2.7
795,LogRhythm,3.6,United States,Bengaluru (India),10000+ employees, $5 to $10 billion (USD) per year,1,1,3.1
796,TierPoint,3.5,"['NE', 'PA', 'NY', 'OK', 'PA', 'NC', 'MO']","Charlotte, NC",501 to 1000 employees, Unknown / Non-Applicable,0,0,2.5
797,Chronicle (CA),5.0,"['CO', 'IL', 'CA', 'NC']",NA,NA,NA,NA,NA,3.3
798,Inpetro Technologies,4.9,United States,NA,NA,NA,NA,NA,2.3
799,Hermes i Ticket,4.9,United States,"Bellevue, WA",501 to 1000 employees, Unknown / Non-Applicable,0,1,NA
800,Databricks,4.8,"['MA', 'VA', 'NY', 'TX', 'CA', 'AZ', 'WA', 'CA', 'Canada']",Copenhagen (Denmark),501 to 1000 employees, Unknown / Non-Applicable,0,1,3.2
801,Aptris,4.6,75 Tri State International ,"Boulder, CO",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,3
802,KMS Technology,4.6,1776 Peachtree St NW #200N ,"Saint Louis, MO",501 to 1000 employees, $100 to $500 million (USD) per year,0,0,2.8
803,Axis Communications,4.9,"['VA', 'MA', 'IL', 'FL', 'CA', 'TX', 'Canada', 'NY']","Mountain View, CA",Unknown, Unknown / Non-Applicable,0,0,2.9
804,Slalom Build,4.6,United States,"Houston, TX",1001 to 5000 employees, $50 to $100 million (USD) per year,0,0,NA
805,Cloud Sherpas,4.4,"['GA', 'MA', 'NY']",NA,NA,NA,NA,NA,3
806,OutSystems,4.4,"['GA', 'MA']","San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,3.2
807,Yandex,4.4,United States,"Lincolnshire, IL",5001 to 10000 employees, $10+ billion (USD) per year,0,1,3.2
808,Medical Science & Computing,4.4,"['MD', 'MD']","Atlanta, GA",1001 to 5000 employees, $25 to $50 million (USD) per year,0,1,3
809,Etas,4.4,United States,"Chelmsford, MA",201 to 500 employees, Unknown / Non-Applicable,0,1,2.7
810,Penske Media,4.4,"['CA', 'NY', 'CA']",NA,NA,NA,NA,NA,2.7
811,OutSystems,4.4,"['GA', 'MA']","Atlanta, GA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3.2
812,IFS,4.4,"['WI', 'IL', 'Canada', 'IL', 'AZ']","Boston, MA",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,2.7
813,Medical Science & Computing,4.4,"['MD', 'MD']",Moscow (Russia),5001 to 10000 employees, $10+ billion (USD) per year,0,0,3
814,CI&T,4.3,"['PA', 'NY', 'CA', 'NJ', 'Canada']","Rockville, MD",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.8
815,Mellanox,4.4,United States,Stuttgart (Germany),1001 to 5000 employees, $50 to $100 million (USD) per year,0,0,3.1
816,CyberArk,4.4,"['MA', 'MA']","Los Angeles, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,0,3
817,National Information Solutions Cooperative,4.2,"['IA', 'MO', 'MO', 'ND']","Boston, MA",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,2.9
818,Systems Limited,4.2,United States,Linköping (Sweden),1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.7
819,MHP - A Porsche Company,4.3,One Porsche Drive ,"Rockville, MD",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.7
820,Pantheon (Virginia),4.2,"['TX', 'VA']","Campinas, São Paulo (Brazil)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
821,Directi,4.2,United States,"Sunnyvale, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,3.3
822,Thomson Professional And Regulatory,4.2,United States,"Newton Center, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2
823,Systems Limited,4.2,United States,"Lake Saint Louis, MO",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
824,BairesDev,4.2,"['CA', 'Mexico', 'NY', 'MA', 'VA', 'NY', 'CA', 'Canada']",Lahore (Pakistan),1001 to 5000 employees, Unknown / Non-Applicable,0,1,3
825,Trigent Software,4.2,"2 Willow Street, Suite #201, Southborough, MA - 01745, USA +1 (508) 490-6000 ","Ludwigsburg, Baden-Württemberg (Germany)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.6
826,Icertis,4.2,United States,"Reston, VA",1001 to 5000 employees, $50 to $100 million (USD) per year,0,0,3
827,National Information Solutions Cooperative,4.2,"['IA', 'MO', 'MO', 'ND']",Mumbai (India),1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,2.9
828,Next Level Business Services,4.2,"['GA', 'Canada', 'CO', 'NJ', 'FL', 'GA', 'NY', 'AZ', 'NJ', 'CA', 'CA']","New York, NY",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,2.5
829,Geotab,4.2,"['Mexico', 'Canada', 'NV', 'Canada', 'Canada']",Lahore (Pakistan),1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.7
830,ByteDance,4.0,"['WA', 'CA', 'CA']",Buenos Aires (Argentina),1001 to 5000 employees, $50 to $100 million (USD) per year,0,1,2.7
831,Snowflake,4.0,"['GA', 'WA', 'MA', 'IL', 'CO', 'CA', 'TX', 'VA', 'NY', 'PA', 'CA', 'Canada']","Boston, MA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,3
832,Hitachi Solutions,4.0,"['Canada', 'IL', 'TN', 'CA', 'PA', 'Canada']","Bellevue, WA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,NA
833,Zomato,4.0,"NexTable, Inc. (c/o Justin Doshi) 601 S. Cedar Street, Suite 111, Charlotte, NC 28202, USA ","Lake Saint Louis, MO",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
834,Numerator,4.0,"['GA', 'IL', 'Canada', 'NY', 'Canada', 'CA', 'OH']","Alpharetta, GA",5001 to 10000 employees, $100 to $500 million (USD) per year,0,0,2.8
835,OSI Digital,4.0,"['GA', 'MA', 'Canada', 'IL', 'TX', 'CA', 'CA', 'NY', 'PA', 'CA', 'WA', 'CA']","Oakville, ON (Canada)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,NA
836,Alphabet,4.0,United States,"Beijing, Beijing (China)",10000+ employees, Unknown / Non-Applicable,0,1,NA
837,Keyrus,4.0,252 W 37th St 14th Floor ,"San Mateo, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.4
838,Lightspeed,4.0,United States,NA,NA,NA,NA,NA,2.9
839,Acronis,3.9,"['MA', 'MA', 'AZ', 'MA']","Gurgaon, Haryana (India)",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
840,Pramati Technologies,3.9,"1975, W. El Camino Real, Suite 301 ","Chicago, IL",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,3
841,Alibaba Group,4.0,"['CA', 'WA']",NA,NA,NA,NA,NA,NA
842,Saksoft,3.9,United States,NA,NA,NA,NA,NA,NA
843,Spoken Communications,3.9,United States,Levallois-Perret (France),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
844,Swisscom,3.9,United States,"Montreal, QC (Canada)",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.7
845,BJSS,3.9,United States,Schaffhausen (Switzerland),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,NA
846,Skype,3.9,United States,Hyderabad (India),1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
847,Global Edge Software,3.9,"1635A, South Main Street ",NA,NA,NA,NA,NA,3.1
848,Blue Prism,3.9,"['TX', 'NY']",NA,NA,NA,NA,NA,2.9
849,ThoughtFocus,3.9,"['GA', 'TX', 'NJ', 'CA', 'WI', 'NY']","Seattle, WA",5001 to 10000 employees, Unknown / Non-Applicable,0,1,3.1
850,SoftwareONE,3.9,"['IL', 'TX', 'WI', 'NY', 'WI']",Bern-Worblaufen (Switzerland),10000+ employees, $10+ billion (USD) per year,0,1,2.9
851,GFT Technologies,3.9,"['MA', 'Mexico', 'Costa Rica', 'NY', 'Canada']",NA,NA,NA,NA,NA,2.5
852,Accion Labs,3.9,"1121 Boyce Rd Ste 1400 Pittsburgh, Pennsylvania, 15241-3935, United States","Redmond, WA",1001 to 5000 employees, $2 to $5 billion (USD) per year,0,0,2.7
853,Grid Dynamics,3.9,"['CA', 'CA', 'CA']",Bengaluru (India),1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.9
854,Nagarro,3.9,"['GA', 'MA', 'IL', 'FL', 'NY', 'CA', 'CA', 'Canada']","Warrington, North West England, England (UK)",1001 to 5000 employees, $50 to $100 million (USD) per year,0,0,3.2
855,Samasource,3.9,2017 Mission St Ste 301 ,"Brookfield, WI",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
856,Datalogic,3.9,"['MN', 'OR', 'SC', 'CA', 'PA']",Stans (Switzerland),1001 to 5000 employees, $5 to $10 billion (USD) per year,0,1,2.8
857,SAP Business Objects,3.9,United States,Stuttgart (Germany),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
858,ESET,3.8,610 W Ash St Ste 1700 ,"Pittsburgh, PA",1001 to 5000 employees, $5 to $10 million (USD) per year,0,1,3.1
859,ABBYY,3.8,United States,"San Ramon, CA",1001 to 5000 employees, $50 to $100 million (USD) per year,0,1,2.7
860,Cohesity,3.8,"['NC', 'CA', 'CA', 'Canada', 'DC']","Munich, Bayern (Germany)",5001 to 10000 employees, $100 to $500 million (USD) per year,0,0,3
861,TomTom,3.8,United States,"San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.9
862,Acer America,3.8,"['CA', 'TX']",Bologna (Italy),1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3.2
863,NEORIS,3.8,"['NC', 'Mexico', 'Mexico', 'TX', 'Mexico', 'FL', 'Mexico', 'NC', 'TX', 'Mexico']",Levallois-Perret (France),10000+ employees, Unknown / Non-Applicable per year,0,0,2.7
864,Automation Anywhere,3.6,"['GA', 'TX', 'NY', 'CA']",Bratislava (Slovakia),1001 to 5000 employees, $50 to $100 million (USD) per year,0,1,2.9
865,Duck Creek Technologies,3.8,"['MO', 'MA', 'IL', 'SC', 'CT', 'NY', 'NH', 'NJ']",Moscow (Russia),1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.6
866,Zurich Insurance,3.8,"['IL', 'TX', 'TX', 'KS', 'IL', 'Canada']","San Jose, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.9
867,EMR CPR,3.8,"['CA', 'CA', 'CA']",Amsterdam (Netherlands),5001 to 10000 employees, $500 million to $1 billion (USD) per year,0,0,1
868,Softtek,3.8,United States,"San Jose, CA",5001 to 10000 employees, Unknown / Non-Applicable,0,0,2.7
869,NetEase.com,3.8,United States,"Miami, FL",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
870,Elektrobit,3.8,"['WA', 'MI', 'CA']","San Jose, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
871,IBS Software,3.8,"900 Circle 75 Parkway, Suite 550   ","Boston, MA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,NA
872,Grab,3.8,"['WA', 'WA']",Zürich (Switzerland),10000+ employees, $10+ billion (USD) per year,0,1,2.9
873,Samsung Strategy and Innovation Center,3.8,2440 Sand Hill Rd ,"San Jose, CA",1001 to 5000 employees, $10 to $25 million (USD) per year,0,1, 3.0
874,Gett,3.8,United States,"Monterrey, Nuevo León (Mexico)",10000+ employees, Unknown / Non-Applicable,0,0,3.2
875,SE2,3.8,"['NJ', 'TX', 'NE', 'KS']","Beijing, Beijing (China)",5001 to 10000 employees, $1 to $2 billion (USD) per year,0,0,2.5
876,everis,3.7,"['AL', 'MA', 'Mexico', 'CT', 'Mexico', 'DC']",Erlangen (Germany),1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.5
877,Neusoft,3.8,United States,NA,NA,NA,NA,NA,2.5
878,SRM Technologies,3.7,United States,Singapore (Singapore),1001 to 5000 employees, Unknown / Non-Applicable,0,1,NA
879,MSC Software,3.7,"['MI', 'CA', 'CA', 'CA', 'CA']","Menlo Park, CA",201 to 500 employees, Unknown / Non-Applicable,0,0,2.7
880,trivago,3.8,United States,"New York, NY",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,NA
881,MSC Software,3.7,"['MI', 'CA', 'CA', 'CA', 'CA']","Topeka, KS",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
882,UrbanSitter,3.8,"['IL', 'CA', 'OR', 'CA']",Madrid (Spain),10000+ employees, $1 to $2 billion (USD) per year,0,0,2.4
883,Reply,3.7,"['MI', 'IL', 'IL', 'MO', 'MO', 'WA']","Shenyang, Zhejiang (China)",10000+ employees, $5 to $10 billion (USD) per year,0,0,NA
884,Ergon,3.7,United States,NA,NA,NA,NA,NA,2.5
885,Avast Software,3.7,"['CA', 'CA']","Newport Beach, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
886,Talan,3.7,United States,NA,NA,NA,NA,NA,2.7
887,Tata Elxsi,3.7,United States,"Newport Beach, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
888,Columbus,3.7,United States,"San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.6
889,Lumentum Operations,3.7,"['CA', 'CA']",NA,NA,NA,NA,NA,2.5
890,Ramco Systems,3.7,United States,"Jackson, MS",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.6
891,Oasis Systems,3.7,"['MA', 'MA', 'MA', 'MA', 'MD']",Prague (Czech Republic),1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1, 1.8
892,eMids Technologies,3.7,"['TN', 'NY']",Paris (France),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
893,Bitdefender,3.7,"['FL', 'CA']",Bengaluru (India),1001 to 5000 employees, $10+ billion (USD) per year,0,0,3.1
894,T-Systems,3.7,United States,Ballerup (Denmark),1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.8
895,Impetus Technologies,3.7,"['TX', 'CA', 'NY']","Milpitas, CA",1001 to 5000 employees, $1 to $2 billion (USD) per year,0,0,3.2
896,Information Services Group,4.4,2187 Atlantic Street ,Chennai (India),5001 to 10000 employees, $2 to $5 billion (USD) per year,0,1, 2.8
897,Synamedia,3.7,"['MA', 'CA', 'GA', 'UT', 'Canada']","Burlington, MA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.8
898,DigiCert,3.7,United States,"Nashville, TN",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,3
899,PowerObjects,3.7,"718 Washington Avenue North, Suite 101 ",Bucharest (Romania),1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.8
900,Marco,3.7,"['MN', 'PA', 'MN', 'NE', 'MN', 'MN']",Frankfurt am Main (Germany),10000+ employees, $5 to $10 billion (USD) per year,0,0,2.5
901,ZT Systems,3.7,"['NJ', 'NJ']","Los Gatos, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
902,3Com,3.7,"['MA', 'CA']","Stamford, CT",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
903,Techedge,3.7,United States,"Staines, England (UK)",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.7
904,Park Place Technologies,3.7,"['OH', 'OH', 'MA', 'OH', 'OH', 'OH']","Lehi, UT",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
905,Farfetch,3.7,"['CA', 'NY']","Minneapolis, MN",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
906,Logica,3.6,United States,"Saint Cloud, MN",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
907,Caresoft Global,3.7,United States,"Secaucus, NJ",1001 to 5000 employees, $2 to $5 billion (USD) per year,0,0,NA
908,LINE,3.7,United States,"Marlborough, MA",5001 to 10000 employees, $1 to $2 billion (USD) per year,0,0,3
909,Sapiens,3.6,"['FL', 'NC', 'IA', 'OH', 'CO', 'MT', 'NJ', 'Canada', 'FL', 'IL']",Milan (Italy),1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.8
910,Sapiens,3.6,"['FL', 'NC', 'IA', 'OH', 'CO', 'MT', 'NJ', 'Canada', 'FL', 'IL']","Mayfield Heights, Cuyahoga, OH",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
911,Playtika,3.6,United States,"London, England (UK)",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.9
912,Gympass,3.6,"['Mexico', 'TX', 'CA', 'NY']","Montreal, QC (Canada)",10000+ employees, $10+ billion (USD) per year,0,0,2.7
913,Shopee,3.6,United States,NA,NA,NA,NA,NA,2.8
914,Unit4,3.6,"['MA', 'MA', 'MO', 'Canada']",Tokyo (Japan),1001 to 5000 employees, $10+ billion (USD) per year,0,1,2.9
915,CSR (UK),3.6,"['MI', 'CA', 'AZ']",Holon (Israel),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
916,Nityo Infotech,3.6,United States,Holon (Israel),1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,NA
917,Nous Infosystems,3.6,"['NJ', 'NJ', 'NY']",Herzliya (Israel),1001 to 5000 employees, Unknown / Non-Applicable,0,0,2.9
918,in-tech,3.6,"['SC', 'CA']","New York, NY",501 to 1000 employees, Unknown / Non-Applicable,0,1,2
919,The Knot Worldwide,3.6,"['TX', 'MD', 'NY', 'CT', 'NE']",Singapore (Singapore),5001 to 10000 employees, Unknown / Non-Applicable,0,0,2.8
920,Sitecore,3.6,"['TX', 'Canada', 'NH', 'CA', 'Canada', 'TX', 'CA', 'CA']",Utrecht (Netherlands),1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.9
921,EVRY India,3.6,United States,"Cambridge, Gloucestershire, South West England, England (UK)",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,0,NA
922,VDart,3.6,"['GA', 'GA', 'IL', 'TX', 'TX', 'MI', 'NY', 'TX', 'WA']",NA,NA,NA,NA,NA,2.6
923,FPT Software,3.6,"['CA', 'CO', 'MI', 'CA', 'WA', 'TX']","Edison, NJ",1001 to 5000 employees, $25 to $50 million (USD) per year,0,1,2.7
924,Abacus Technology,3.6,"['MA', 'FL', 'MD', 'MA', 'FL', 'MA', 'TX', 'VA']","Munich, Bayern (Germany)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.6
925,RAD data communications,3.6,United States,"Chevy Chase, MD",1001 to 5000 employees, Unknown / Non-Applicable,0,0,NA
926,FUJIFILM North America,3.6,"['SC', 'NY']","San Francisco, CA",501 to 1000 employees, $50 to $100 million (USD) per year,0,0,2.4
927,AVEVA,3.6,"['Canada', 'TX', 'CA', 'PA']",NA,NA,NA,NA,NA,2.9
928,Tesco Bengaluru,3.6,United States,"Alpharetta, GA",1001 to 5000 employees, $50 to $100 million (USD) per year,0,1,2.9
929,Sophos,3.6,"['MA', 'MA', 'Canada', 'Canada']",Hanoi (Vietnam),10000+ employees, $500 million to $1 billion (USD) per year,0,1,2.8
930,Vistex,3.6,"['IL', 'Mexico', 'Canada', 'IL', 'WA', 'CA', 'WA']","Chevy Chase, MD",1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,3.1
931,Basware,3.6,United States,NA,NA,NA,NA,NA, 3.2
932,Sonata Software,3.6,United States,"Valhalla, NY",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,0,2.9
933,Altran Group,3.5,United States,"Cambridge, England (UK)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.7
934,Indra,3.5,United States,Bengaluru (India),5001 to 10000 employees, Unknown / Non-Applicable,0,1,2.6
935,Constellation Software,3.5,United States,"Abingdon, England (UK)",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3.5
936,HCL Infosystems,3.5,United States,"Hoffman Estates, IL",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3
937,Long View Systems,3.5,"['CO', 'TX']",Espoo (Finland),1001 to 5000 employees, $100 to $500 million (USD) per year,0,0, 2.7
938,INX,3.5,United States,Bengaluru (India),1001 to 5000 employees, $100 to $500 million (USD) per year,0,0,2.5
939,Global Crossing,3.5,"['AZ', 'NY', 'MI']",Paris (France),10000+ employees, $2 to $5 billion (USD) per year,0,1,2.7
940,Hemmersbach,3.5,"['TX', 'FL']",Madrid (Spain),10000+ employees, $2 to $5 billion (USD) per year,0,0,2.1
941,Zalando,3.5,United States,"Toronto, ON (Canada)",5001 to 10000 employees, $1 to $2 billion (USD) per year,0,0,2.8
942,Giesecke & Devrient,3.5,"['VA', 'Canada', 'Canada', 'OH']",Noida (India),5001 to 10000 employees, $5 to $10 million (USD) per year,0,0,2.7
